Name,NACA 2412
Chord(mm),15.56393951
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),15.81407
,
Airfoil surface,
X(mm),Y(mm)
14.980375,-4.221963
14.274471,-3.858646
13.565597,-3.505811
12.138943,-2.831587
10.702109,-2.193304
9.254672,-1.592457
7.794510,-1.036535
6.320776,-0.528533
4.826683,-0.092410
4.069033,0.088214
3.302900,0.238889
2.526588,0.353624
1.736279,0.418942
1.333490,0.424646
0.923914,0.406390
0.501190,0.341713
0.278377,0.268942
0.000000,0.000000
0.117202,-0.300103
0.278091,-0.445965
0.621076,-0.662815
0.976361,-0.836238
1.338433,-0.985700
2.072331,-1.250184
2.815560,-1.481723
3.564727,-1.692297
4.317712,-1.889394
5.828770,-2.265617
7.345767,-2.620876
8.867853,-2.958165
10.391636,-3.289464
11.916268,-3.617768
13.442596,-3.940082
14.205760,-4.101239
14.969348,-4.260898
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.197789,-0.015581
0.389641,-0.052126
0.772495,-0.128212
1.154925,-0.205796
1.537356,-0.283379
2.299459,-0.448280
3.059230,-0.621417
3.816880,-0.802041
4.572197,-0.990902
6.074773,-1.397075
7.570139,-1.828706
9.061263,-2.275311
10.546873,-2.741384
12.027605,-3.224677
13.504096,-3.722946
14.240115,-3.979942
14.974862,-4.241431
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
14.974862,-4.241431
